username,how_many_reviews,location,date,rating,rating_title,rating_description,date_of_experience
Bruna Dias,1,PT,"Feb 21, 2024",Rated 1 out of 5 stars,Not a good first experience,"Unfortunately, they did not accept my application. I'd like to know if it's because I'm Portuguese or if it's because I worked at Lemonads, which was a competing company with yours.","February 21, 2024"
Diana Coker,2,US,"Feb 21, 2024",Rated 5 out of 5 stars,I'm like to say that the rep Margaret…,I'd like to say that the rep Margaret who assisted me was so helpful and patient in tracking my order.  She provided shipping date.  Thank you 😊,"February 19, 2024"
Orla Simpson,2,AU,"Feb 21, 2024",Rated 5 out of 5 stars,Erin was pleasant and very efficient…,Erin was pleasant and very efficient dealing with my request,"February 21, 2024"
ryan d,8,IE,"Feb 20, 2024",Rated 5 out of 5 stars,Relieved Customer,"I was helped by Jared, who was efficient at resolving quickly and effectively the issue I was facing. I expect to see the €246.30 which was erroneously debited from my account recredited to my account in Ireland within the next few days.Thanks customer support ClickBank.","February 20, 2024"
Jennifer Kitchens,1,US,"Feb 20, 2024",Rated 5 out of 5 stars,I ordered an item and there was no…,I ordered an item and there was no follow up from the person I bought the item from. Rechie helped me and found out all the info about my order and he said he would contact the vendor to find out what was going on. He made everything super simple without me trying to get a hold of the vendor myself. Thank you for having Rechie to help.,"February 19, 2024"
Khorami,1,DE,"Feb 19, 2024",Rated 1 out of 5 stars,I used to be an internet marketer and…,I used to be an internet marketer and through email product specifications like pet food. I used to make cosmetics and other products for shops and customers on a large scale,"March 01, 2023"
michael stuart lenaghan,1,AU,"Feb 19, 2024",Rated 5 out of 5 stars,Rolly was prompt and clear with their…,Rolly was prompt and clear with their responses and was able to sort out my issue without complications.,"February 20, 2024"
DG,1,US,"Feb 19, 2024",Rated 5 out of 5 stars,Marvin was very helpful,Marvin was very helpful! He was able to research my concern and verify my purchases on Clickbank so that I was reassured the proper charges had gone through.,"February 18, 2024"
Jan Freeze,1,US,"Feb 18, 2024",Rated 3 out of 5 stars,They're really isn't anything against…,They're really isn't anything against the company. This just didn't work for me.,"February 15, 2024"
Shery Talarico Sullivan,3,US,"Feb 18, 2024",Rated 3 out of 5 stars,She didn't solve my problem and now I…,She didn't solve my problem and now I need to call the vendor who isn't taking calls today.,"February 18, 2024"
Kim M Males,1,US,"Feb 18, 2024",Rated 5 out of 5 stars,Great Cutomer Service!!!,The customer service agent was kind & listened to my needs. Then was quick to take care of what I needed & I was done with what needed to be done &  on to the rest of my day! I wish everything when I needed customer service went this smooth. You have a real keeper on your hands!,"February 18, 2024"
Manontheearth,1,US,"Feb 18, 2024",Rated 5 out of 5 stars,Professional,,"February 18, 2024"
Kathy Staton,2,US,"Feb 18, 2024",Rated 5 out of 5 stars,Wonderful help that Erin gave me today.,,"February 17, 2024"
Janis Dixon,2,NZ,"Feb 18, 2024",Rated 5 out of 5 stars,Very prompt!,,"February 18, 2024"
Linda DeGraw,2,US,"Feb 17, 2024",Rated 5 out of 5 stars,Roseanna was very helpful,Roseanna was very helpful.  I feel the company did a bait and switch but Roseanna handled my questions quickly and professionally.,"February 17, 2024"
Vic DP,1,US,"Feb 17, 2024",Rated 5 out of 5 stars,Agent was helpful and understanding,Agent was helpful and understanding.  Canceled my oder and explained cancellation and refund. Professional and polite,"February 17, 2024"
Fernanda Lopes de Araujo,1,FR,"Feb 17, 2024",Rated 4 out of 5 stars,Is was good,"Is was good, but I can only do a real review once I receive my money back.","February 17, 2024"
Michelle Parise,1,CA,"Feb 17, 2024",Rated 5 out of 5 stars,Jenny was very helpful with my order.,,"February 17, 2024"
KIJUNG LEEM lacopro,1,KR,"Feb 17, 2024",Rated 5 out of 5 stars,They took care of it kindly and quickly.,,"February 17, 2024"
Andrey M,5,EE,"Feb 17, 2024",Rated 1 out of 5 stars,Blocked my account without a reason,"I was hoping to use this service to find affiliates to advertise my product. After creating an account and adding additional details about my company I've received a message saying ""Your account has been blocked. This is final, no action is required"". What??I was hoping to use this product expecting that maybe they would schedule a call or something like normal services do and instead they told me to ""f*** off"". Yes, I'm sorry to say this, but their message sounded exactly like that. It was rude and offensive, while the data I provided was absolutely valid!!!","February 17, 2024"
Oliver,1,US,"Feb 17, 2024",Rated 5 out of 5 stars,Associate Rezel was very helpful,Rezel was very helpful to me in getting the order corrected. She was courteous and knowledgeable about what needed to be done.,"February 16, 2024"
Marcel Piet,2,US,"Feb 17, 2024",Rated 1 out of 5 stars,Run away fast,"Run away fast. Run now. These people are scammers.  Tried to return a product.  They sent me an email on where to send it.  Called them 5 days later with the tracking # as instructed.  Turns out they gave me the wrong address to send it to and it’s MY fault.  Said they have to check with the vendor for a refund.  Even though the vendor didn’t charge my account, they did and they told me to send it to the wrong place. I asked for a “supervisor”. They told me none were available but one would call me back that same day. 2 days later I get a call from a supervisor. They want me to give them all the info I gave them two days previous.  After some screaming, they tell me I should see a refund in 3-5 days.  Guess what happens in 5 days?  Yup no refund.  Call them again. Guess again?  Yup I need to give them all the same info.  What a S$&* show.","February 16, 2024"
Ann Mitchell,1,US,"Feb 16, 2024",Rated 5 out of 5 stars,This is the first time I did a chat with you.,I do not have experience with this.,"February 15, 2024"
EF.,4,US,"Feb 16, 2024",Rated 5 out of 5 stars,Thank you!,Margarette was great! Very helpful and answered my questions.,"February 15, 2024"
Linda,1,US,"Feb 16, 2024",Rated 5 out of 5 stars,Margarette looked into my issue with a…,"Margarette looked into my issue with a subscription charge I did not know I ""agreed"" to and worked to get me a refund and cancel the subscription.  Margarette was helpful and I am happy with the outcome of a refund and a cancelled subscription as I did not access the content as I thought I only ordered/paid for a Valentine printout of $1.06","February 15, 2024"
Alex Der,1,US,"Feb 16, 2024",Rated 4 out of 5 stars,The Chat person Rosanna was able to get…,The Chat person Rosanna was able to get to the issue of return of product. She requested the tracking number which was my responsibility.,"February 15, 2024"
daisyrootsprincegmail.com,1,GB,"Feb 16, 2024",Rated 4 out of 5 stars,Good Customer Service,"Nathaniel was very helpful with my request to cancel my Order, which I made by mistake","February 15, 2024"
Maya Song-Goede,6,US,"Feb 15, 2024",Rated 5 out of 5 stars,Vincent was helpful in resolving my…,Vincent was helpful in resolving my issue today. Thank you.,"February 14, 2024"
Vicki,2,US,"Feb 15, 2024",Rated 5 out of 5 stars,All of my questions were answered in a…,"Erin answered all of my questions were answered in a timely manner.  So far I am satisfied.  I will be even more satisfied when I receive my refund.  I wish that the product worked like they claimed it would, but that was not the case.  I am so grateful that I can at least get my money back.Thank you.","February 13, 2024"
Knute G. Fenstad Jr.,1,US,"Feb 15, 2024",Rated 5 out of 5 stars,quick concise and to the point,"quick concise and to the point.  no wasting of time,","February 14, 2024"
Anna,1,AL,"Feb 15, 2024",Rated 4 out of 5 stars,There answered a girl named Rossana and…,There answered a girl named Rossana and heleped me with my problem .,"February 15, 2024"
joseph mizrachi,1,IL,"Feb 14, 2024",Rated 1 out of 5 stars,I purchased software from them,"I purchased software from them, it didn't work, I asked them to help me with it, there was no response immediately I canceled and after three months they charged me again","February 14, 2024"
Nigelle Thibaud,1,CA,"Feb 12, 2024",Rated 5 out of 5 stars,Angelica was very helpful and explained…,Angelica was very helpful and explained accordingly to make the transaction smooth for me.,"February 12, 2024"
Brenda Walker,1,US,"Feb 12, 2024",Rated 5 out of 5 stars,Rechie processed my refund quickly and…,Rechie processed my refund quickly and without any problem.,"February 12, 2024"
babak,10,CZ,"Feb 12, 2024",Rated 1 out of 5 stars,An useless website!,Just created an account and then updated my profile and then suddenly got a notification that you account is suspended! I even have not started and just press the button to save my profile information.An useless website!,"February 12, 2024"
Coleen McClean,1,CA,"Feb 12, 2024",Rated 5 out of 5 stars,Nathan corrected my address as I wanted…,Nathan corrected my address as I wanted it to be shown on my order.  Greatly appreciated his service. Thank you,"February 11, 2024"
Michele,2,CA,"Feb 12, 2024",Rated 5 out of 5 stars,Erin was very direct in her approach…,Erin was very direct in her approach and got straight to the problem. All was resolved in minutes.,"February 11, 2024"
luke,1,AU,"Feb 12, 2024",Rated 5 out of 5 stars,"excellent customer service, fast and prompt",I was dealing with Rechie and the customer service was excellent fast and prompt and very helpful.,"February 12, 2024"
Jill Diver,1,US,"Feb 11, 2024",Rated 5 out of 5 stars,Charisse was very helpful and pleasant…,Charisse was very helpful and pleasant to chat with.,"February 11, 2024"
Larry Walker,1,US,"Feb 11, 2024",Rated 5 out of 5 stars,Cassidy listened to my issue,"Cassidy listened to my issue, worked with me to a good solution, thanks!","February 11, 2024"
Andrew,2,US,"Feb 11, 2024",Rated 5 out of 5 stars,Great customer service,There was a short wait time to speak to someone and my issue was addressed promptly.,"February 11, 2024"
Brigitte,1,DE,"Feb 11, 2024",Rated 5 out of 5 stars,Click bank no problems,All of them are more than customer friendly and very helpful. Very understandable and not complicated at all.,"February 11, 2024"
Marek Soremski,1,PL,"Feb 11, 2024",Rated 5 out of 5 stars,I was not satisfied with the product,I was not satisfied with the product. But Shane from Order Support have helped me to get my refund. I'm impressed how fast and profesional it was,"February 11, 2024"
Kagan Hale,1,US,"Feb 11, 2024",Rated 5 out of 5 stars,Cassidy was awesome!,Cassidy was a great help! Very quick and professional.,"February 11, 2024"
Justin Stone,4,US,"Feb 11, 2024",Rated 5 out of 5 stars,Dave was quick to help and very polite.,,"February 10, 2024"
Von,3,US,"Feb 10, 2024",Rated 5 out of 5 stars,Quick response!  Hopefully quick cancelation,"Great and quick response,  hopefully cancelation will be as quick!  Thank you!","February 10, 2024"
Fatima Arvelo,1,US,"Feb 10, 2024",Rated 5 out of 5 stars,Fast help,Fast help. Good service,"February 10, 2024"
MR LAWRENCE L MCFARLANE,7,GB,"Feb 10, 2024",Rated 4 out of 5 stars,Pleasant and straight to the issue…,Pleasant and straight to the issue concerned also dealt with promptly,"February 10, 2024"
Consumer,1,US,"Feb 10, 2024",Rated 5 out of 5 stars,I called in to inquire about my order…,I called in to inquire about my order status two times. There was a ticket made up for the vendor to get in touch with me but I never received any response. I'm dissatisfied with the vendor but Cassidy was helpful and very sincere about my concerns. He put in a ticket for the vendor again to contact me in an email and not through Zendesk,"February 10, 2024"
Kjustc Kc,1,US,"Feb 10, 2024",Rated 5 out of 5 stars,Cassidy did a great job,"Cassidy did a great job. She listened to my concern and made sure to have a solution for me before I was fiished. Great job, Cassidy!","February 10, 2024"
Peggy Langlitz,1,US,"Feb 10, 2024",Rated 5 out of 5 stars,I had a hard time staying login,I had a hard time staying login. It kept timing out on me. But once I was login everything went very well. Thanks so much for your help.,"February 10, 2024"
Phyllis Taylor,6,US,"Updated Feb 10, 2024",Rated 1 out of 5 stars,Not worth it,"I'm upset with Tom Harris and his video that goes on and on with promises of a money-back guarantee, no questions asked. It's been a hassle returning this product. I have had the runaround. Some of the reps were very rude. It did nothing for me and I followed instructions to the ""T"". Please read the fine print if you should purchase this product that didn't work. Too me it is just another scam to get your money. Somethings that we see advertised is not worth it. Please be very cautious. Keep your receipt, the box, and the bottles that you purchase. If you need to return it, it will make things easier for you. I've learned another great lesson. Very unhappy customer.","January 01, 2024"
RJ Meuwissen,4,BE,"Feb 10, 2024",Rated 5 out of 5 stars,The person Charry has answered all me…,"The person Charry has answered all me questions and knew exactly what I needed and what I was talking about.Charry swiftly looked for all details!Thank you, CharryMy score 10 out of 10.Kind regards, Arjay.","February 10, 2024"
Mia Smith,2,US,"Feb 10, 2024",Rated 5 out of 5 stars,Great customer service,Great customer support,"February 09, 2024"
Donna Wharton,7,US,"Feb 10, 2024",Rated 5 out of 5 stars,Very pleasant and helpful,Magarette was very pleasant and helpful,"February 09, 2024"
Sandrs,1,US,"Feb 10, 2024",Rated 5 out of 5 stars,The response time was immediate and the…,The response time was immediate and the representative was very helpful.,"February 09, 2024"
Zia Marie,1,PH,"Feb 9, 2024",Rated 5 out of 5 stars,Orlan was very helpful.,,"February 09, 2024"
Rhonda Thompson,3,AU,"Feb 9, 2024",Rated 5 out of 5 stars,Rezwl was very helpful,,"February 09, 2024"
Shavon Meyers,1,US,"Feb 9, 2024",Rated 3 out of 5 stars,I had to do this twice…,I had to do this twice and I am not certain that I will get my refund.,"February 08, 2024"
Michal Nostercik,1,CZ,"Feb 7, 2024",Rated 5 out of 5 stars,Is honest company,"Is honest company , They always help in minutes on live chat . thanks a lot . always buy here","February 07, 2024"
Tommy Aragon tomtotom,2,US,"Feb 7, 2024",Rated 4 out of 5 stars,I AM HOPING TO GET HELP UPDATING MY…,I AM HOPING TO GET HELP UPDATING MY ACCOUNT,"February 07, 2024"
Frances,1,US,"Feb 7, 2024",Rated 4 out of 5 stars,Quick customer service,,"February 06, 2024"
Rashid Bell,1,US,"Feb 6, 2024",Rated 5 out of 5 stars,"Erin provided great customer service.  Caring, fast and complete.",Erin was great.  She was very professional; she cared about my concerns.  She confirmed that she understood my questions; and she sent me email confirmation of the transaction in question.  This was a great experience!!,"February 05, 2024"
AbdelRahman Wahba,1,US,"Feb 6, 2024",Rated 5 out of 5 stars,Good customer service,,"February 05, 2024"
Pamela Masiewicz,2,US,"Feb 6, 2024",Rated 5 out of 5 stars,Rechie helped me right away,Rechie helped me right away.  He was quick and friendly.,"February 05, 2024"
Karen Spado,1,US,"Feb 4, 2024",Rated 5 out of 5 stars,Hermione is very Professional & knows HER Business🌺,It was a BREEZE,"February 04, 2024"
Blake Scott Shipley,4,US,"Feb 4, 2024",Rated 5 out of 5 stars,Great assistance,,"February 04, 2024"
generalservices1982,4,US,"Feb 4, 2024",Rated 5 out of 5 stars,The representative was very courteous,"The representative was very courteous, took care of my requests quickly and correctly. Very professional.","February 04, 2024"
Mari Johansson,5,SE,"Feb 4, 2024",Rated 5 out of 5 stars,Quick and Easy,,"February 04, 2024"
Harmesh,7,GB,"Feb 4, 2024",Rated 5 out of 5 stars,Very helpful and knowledgeable,,"February 04, 2024"
Kaleen Bender,1,US,"Feb 4, 2024",Rated 5 out of 5 stars,Friendly and my issues got resolved,,"February 04, 2024"
Allyson,1,CA,"Feb 3, 2024",Rated 5 out of 5 stars,Timely and effective solution,,"February 03, 2024"
nicholas ranalli,5,US,"Feb 3, 2024",Rated 5 out of 5 stars,Joe did a great job helping me out…,Joe did a great job helping me out about my order,"February 03, 2024"
C W,1,US,"Feb 3, 2024",Rated 5 out of 5 stars,Quick response and kind representative.,,"February 03, 2024"
Gene,3,US,"Feb 3, 2024",Rated 5 out of 5 stars,My experience with Marvin was great. Everything!,,"February 03, 2024"
Smiley Omar,2,GB,"Feb 3, 2024",Rated 5 out of 5 stars,Charisse,"Charisse, was very helpful and polite. Thank you Charisse.","February 03, 2024"
John Johnson,2,US,"Feb 3, 2024",Rated 5 out of 5 stars,Rhea was very helpful and patient with…,Rhea was very helpful and patient with my request.She provided me with the information I needed. I am very happy I chatted with her.,"February 02, 2024"
Mark Westermann,1,US,"Feb 3, 2024",Rated 4 out of 5 stars,Product Not Delivered,Agent explained situation and when that was not acceptable allowed me to cancel my order.,"February 02, 2024"
JOHN,3,US,"Feb 1, 2024",Rated 5 out of 5 stars,Jared was very helpful and thorough,"Jared was very helpful and thorough.  I need a link to download the Bible Periodic Table and he is addressing that for me.  You guys are great marketers, but also have very good customer service.Many thanks!","February 01, 2024"
MGCally,2,US,"Feb 1, 2024",Rated 5 out of 5 stars,Margrette,Margrette. She was most efficient and helpful with the issue that I had to resolve.  Thank you.,"January 31, 2024"
Joh,8,GB,"Feb 1, 2024",Rated 5 out of 5 stars,She understood what I needed care…,She understood what I needed took care of it and explained what would happen next,"February 01, 2024"
Jan Hawthorn,3,AU,"Feb 1, 2024",Rated 5 out of 5 stars,Good Service,Kim was very helpful and efficient,"February 01, 2024"
benjamin larsen,1,DK,"Jan 31, 2024",Rated 1 out of 5 stars,Screw these guys,"Screw these guys, its exactly the kind of company they warn you about, just trying to sell you their coarse.","January 31, 2024"
Bill,1,US,"Jan 31, 2024",Rated 4 out of 5 stars,Frustrated,"Rezel, was very helpful. however, my problem was not solved. very frustrated with vendor and not happy with so much time lost. in the future, do not order thru Facebook ads. Company selling the product also not helpful. left frustrated and at a loss of over $100","January 30, 2024"
Deborah Budziszewski,1,US,"Jan 31, 2024",Rated 1 out of 5 stars,Idiot cs .This was suppose to be taken…,Idiot cs .This was suppose to be taken care of this am.,"January 30, 2024"
Teresa White,1,US,"Jan 31, 2024",Rated 5 out of 5 stars,The lady (Erin) was quick and courteous,,"January 30, 2024"
Nancy Hornecker,1,US,"Jan 31, 2024",Rated 5 out of 5 stars,Jee Civan,"Jee Civan, was very helpful. Made my experience worth it. Nothing like great customer service . The product is very good, I just can’t afford it sadly","January 30, 2024"
Kim Smith Knowles,1,US,"Jan 31, 2024",Rated 5 out of 5 stars,Great customer service!,The customer service representative went above and beyond to find my order information.  And he was fast finding it when I couldn't through the site. I greatly appreciate him.,"January 30, 2024"
Jan Brocci,1,US,"Jan 29, 2024",Rated 3 out of 5 stars,"Good, overall.","Overall, the experience was good. I didn't give more stars because it took a little long to find my order, etc. But I got exactly what I needed, so thank you.","January 29, 2024"
Andrei Nicolas,2,PH,"Jan 29, 2024",Rated 5 out of 5 stars,Great customer experience,Agent Erin was nice to speak with and my problem was solved fast. Great customer experience!,"January 29, 2024"
Sarah Bellman,1,US,"Jan 29, 2024",Rated 5 out of 5 stars,refreshingly quick and easy experience,"My experience was refreshingly quick and without Hassel or pressure. The customer service agent that helped me was understanding of my situation and got Me my refund without hesitation or pressure to buy or stick with any product. She also sent me the links for my missing product. It was a GREAT experience. I normally don't leave reviews but I was so impressed by the customer service I felt inspired to do so. I've never had any refund request go so smoothly. *also everything was handled via online chat so there was none of the dreaded music/advertisments while waiting on a the phone. Wait Time was within a reasonable time frame, in fact, faster than average. I didn't time it out but I know that the entire interaction from start to finish took me less than 30 mins and I got the results I was lookin for the first time around. Keep up the good work!! I wish all companies were on your level.","January 28, 2024"
Matthew,1,US,"Jan 29, 2024",Rated 5 out of 5 stars,Helped me out asap and correctly,Helped me out asap and correctly.  Great job,"January 28, 2024"
Mabel Jones,5,US,"Jan 29, 2024",Rated 5 out of 5 stars,an issue with a recurring order…,Ihad an issue with a recurring order that I had not understood was going to be a recurring order until I was emailed that it would be forthcoming.  I couldn't believe my error.   I contacted you via chat and chatted with Shane.  He was super kind and helped me to cancel my order and future orders!  I would say that Shane is A1+ in customer service!  I am a sr citizen and I will surely look forward to doing business with a company like that!!!,"January 28, 2024"
Arthur Resendes,4,US,"Jan 29, 2024",Rated 5 out of 5 stars,Cancellation of an order .,I had a money issue and unfortunately had to cancel after I had just placed the order. Shane was very helpful and took care of the problem immediately. He was very nice.,"January 28, 2024"
Consumer,1,US,"Jan 29, 2024",Rated 5 out of 5 stars,Amazing customer service,,"January 28, 2024"
Geraldine Gillen,1,GB,"Jan 28, 2024",Rated 5 out of 5 stars,Jeffry was Very polite and prompt with…,Jeffry was Very polite and prompt with his responses...overall a very pleasant experience,"January 28, 2024"
Dijon,2,US,"Jan 28, 2024",Rated 5 out of 5 stars,Rechie Quickly handled my problem,,"January 28, 2024"
Gurpreet Bassan,1,QA,"Jan 28, 2024",Rated 4 out of 5 stars,Person is good and answer,"Person is good and answer, but I am not get solution.","January 28, 2024"
Satish,1,IN,"Jan 28, 2024",Rated 5 out of 5 stars,Click Bank representative response was…,Click Bank representative response was more than what I expected esp thanks to Jeffry,"January 28, 2024"
Jessica Lalancette,1,CA,"Jan 28, 2024",Rated 5 out of 5 stars,Jessery Was very understanding and he…,Jessery Was very understanding and he anwser to all my questions thank you,"January 28, 2024"
Sandra K. Owens,1,US,"Jan 28, 2024",Rated 5 out of 5 stars,My order was very late in getting here…,"My order was very late in getting here but the customer service rep was fantastic. He found my order which was delivered two days ago, still very late. The UPS drive put the package in the wrong place","January 27, 2024"
Clairette Clementino Wilson,1,US,"Jan 27, 2024",Rated 5 out of 5 stars,Richie was informable,Richie was informable Went right to the subject and didn’t try to change my mind Excellent customer seevice,"January 27, 2024"
salvatorebarretta,2,IT,"Jan 27, 2024",Rated 5 out of 5 stars,everything ok,,"January 27, 2024"
Gloria Everly,1,US,"Jan 27, 2024",Rated 5 out of 5 stars,I requested my need and it was handled…,I requested my need and it was handled in a mannerly time frame. Then customer rep was very quick and polite and I explained my reasons for canceling and was very understanding.,"January 27, 2024"
Armstrong,1,NG,"Jan 27, 2024",Rated 1 out of 5 stars,I can't create a click bank account,,"January 27, 2024"
MICHAEL B ALPHONSE,1,AE,"Jan 27, 2024",Rated 1 out of 5 stars,the account is disabled i am leagel but…,the account is disabled i am leagel but it is disabled,"January 27, 2024"
normichelle custodio,1,PH,"Jan 27, 2024",Rated 1 out of 5 stars,promised action not delivered,Promised action to send me the link for my order was not delivered. Vincent told me it will only take 15 mins to receive via email. It's now 24 hrs and still not in my email.,"January 26, 2024"
Rochelle,1,US,"Jan 26, 2024",Rated 5 out of 5 stars,She was very pleasant and fixed my…,She was very pleasant and fixed my issue immediately giving me all the information I need for this and any future problems.,"January 26, 2024"
Star Crossed,2,US,"Jan 26, 2024",Rated 5 out of 5 stars,Yvonne was very helpful and…,Yvonne was very helpful and informative. Click bank has continued to be a trustworthy site,"January 25, 2024"
Felix Delgado,2,US,"Jan 26, 2024",Rated 5 out of 5 stars,Yvonne was very helpful and took care…,Yvonne was very helpful and took care of my situation quickly and gave me what I needed.,"January 25, 2024"
Sammy Henry,3,AE,"Jan 25, 2024",Rated 1 out of 5 stars,It's a place of fake and dangerous…,It's a place of fake and dangerous products. Selling unverified supplements and medicines.,"January 25, 2024"
Allan,1,US,"Jan 25, 2024",Rated 5 out of 5 stars,May was very polite and professional,"May was very polite and professional, and did all she could do to resolve my issue...","January 25, 2024"
JN,2,US,"Jan 25, 2024",Rated 5 out of 5 stars,Best customer service!,"What made my experience great was the customer service rep that I dealt with, Charity. She was professional, kind, easy to work with, gave me options and it couldn't have been better. She is a huge asset to your company and it is because of her that I view your company favorably. Thank you!","January 24, 2024"
Paige Lee,1,US,"Jan 25, 2024",Rated 5 out of 5 stars,Good Service,My canceled subscription request was handled fast. Thanks Erin,"January 24, 2024"
Joy Olive,2,AU,"Jan 25, 2024",Rated 5 out of 5 stars,Erin was professional and patient,,"January 25, 2024"
Gwen Tobin,3,US,"Jan 24, 2024",Rated 5 out of 5 stars,Chriss was very patient,"Chriss was very patient, kind, professional and helpful!  I appreciate the excellent customer service!","January 23, 2024"
Kelly Tobita,1,US,"Jan 24, 2024",Rated 4 out of 5 stars,Cancellation,It was easy to use and Rosanna was very pleasant.,"January 23, 2024"
no,1,US,"Jan 24, 2024",Rated 5 out of 5 stars,Jee Civan was very helpful and…,Jee Civan was very helpful and wonderful thank you again,"January 23, 2024"
Roger Manship,5,US,"Jan 23, 2024",Rated 4 out of 5 stars,All was good but I kept losing my chat…,All was good but I kept losing my chat window and had to log back in every time to get it back!,"January 23, 2024"
Steven Baker,1,US,"Jan 23, 2024",Rated 5 out of 5 stars,Orlan did an outstanding job.,"Orlan did an outstanding job and went beyond expected response to activating my ticket number and including my tracking number to the refund request for my 6 Trump Badges from ShipOffers. Orlan put in Technical Support tickets to the Vendor to respond back to me within 72 hours.Again, great job Orlan.","January 22, 2024"
Joanne Rachinsky,5,US,"Jan 22, 2024",Rated 5 out of 5 stars,Ronalyn was very helpful’,,"January 22, 2024"
Madalena Santos,1,PT,"Jan 22, 2024",Rated 1 out of 5 stars,No help whatsoever,No help whatsoever just forwarded to an automated link and ended chat even before I could read what the answer was..,"January 22, 2024"
John Ramer,1,US,"Jan 22, 2024",Rated 5 out of 5 stars,Reseller I was very helpful and did a…,Reseller I was very helpful and did a fantastic job to assure me that all is well.,"January 21, 2024"
Will Orona,1,US,"Jan 22, 2024",Rated 5 out of 5 stars,The representative was agreeable…,"The representative was agreeable knowledgeable, and did not make it at all. The representative was also very polite and respectful.","January 21, 2024"
Vicki,2,US,"Jan 21, 2024",Rated 5 out of 5 stars,"Thank you, Jeffry",Jeffry was very helpful and able to cancel the order without any complications.,"January 21, 2024"
Mary O'Dell,3,US,"Jan 21, 2024",Rated 5 out of 5 stars,I was chatting with Jessery who was…,I was chatting with Jessery who was very happy to help me with my problem. He was very polite and understanding. He was also very helpful. Thank you for your assistance.,"January 21, 2024"
Memmo,12,SE,"Jan 21, 2024",Rated 5 out of 5 stars,everything went perfect.,,"January 21, 2024"
Raffy,2,US,"Jan 21, 2024",Rated 5 out of 5 stars,Good service,Good service that i received,"January 21, 2024"
Brenda Jolly,1,US,"Jan 21, 2024",Rated 5 out of 5 stars,Stephane the person I spoke with was…,Stephane the person I spoke with was very helpful and pleasant to speak with,"January 21, 2024"
Riccardo Landi,1,IT,"Jan 21, 2024",Rated 5 out of 5 stars,Just one word: trustable,"I've had issues with some online services that activated automatic subscriptions, and they solved the problem immediately and refunded me.","January 21, 2024"
Cam Huth,1,CA,"Jan 21, 2024",Rated 5 out of 5 stars,Prompt and helpful,Prompt. Courteous. Answered all my questions.,"January 20, 2024"
John DuBrule,2,US,"Jan 21, 2024",Rated 5 out of 5 stars,All good,"Charity was fast and efficient with fixing my problem. No fuss, no muss! Thanks Charity!!","January 20, 2024"
Vita Verde,2,US,"Jan 20, 2024",Rated 5 out of 5 stars,Rechie was very helpful today with my…,Rechie was very helpful today with my return request.  I appreciate the professional way she assisted me.,"January 20, 2024"
Zita,18,US,"Jan 20, 2024",Rated 5 out of 5 stars,Helpful service agent Rolly,"The service agent, Rolly, was very helpful in finding out about my 2 orders.  I was worried because I had not heard about them and now I know they are in route and will be here tomorrow.  I was worried that I had wasted my money.  Plus, she was very quick to get the answer I needed.","January 20, 2024"
Rose,2,US,"Jan 20, 2024",Rated 5 out of 5 stars,Clear and concise response.,,"January 20, 2024"
Ritzie,1,PR,"Jan 19, 2024",Rated 5 out of 5 stars,Chriss do a great customer service,Chriss was the guy that answer my questions and help me and ressolve an issue with my email address!!,"January 18, 2024"
Tajinder Sehmi,1,CA,"Jan 18, 2024",Rated 5 out of 5 stars,The lady was very patient and read all…,The lady was very patient and read all my concerns,"January 17, 2024"
Mere Rayawa,20,GB,"Jan 17, 2024",Rated 5 out of 5 stars,Jenny was very efficient and helpful,Jenny was very efficient and helpful. Thank you.,"January 17, 2024"
Domain Admin,4,US,"Jan 17, 2024",Rated 5 out of 5 stars,"Khrietzylle was polite, professional, and helpful","Khrietzylle was polite, professional, and helpful.","January 16, 2024"
Prabath Athauda,2,LK,"Jan 17, 2024",Rated 5 out of 5 stars,Very good appreciate help person.,Very good appreciate help person.Heramie thank you for your kind response,"January 17, 2024"
Bernardo Flores,1,US,"Jan 16, 2024",Rated 5 out of 5 stars,Rapid response and courtesy Rossana is…,Rapid response and courtesy Rossana is great customer service,"January 16, 2024"
Vicki,1,US,"Jan 16, 2024",Rated 5 out of 5 stars,Jenny contacted vendor on My behalf…,Jenny contacted vendor on My behalf because I’m deaf. Cannot speak on phone with councilor.,"January 16, 2024"
Ravinder singh Chouhan,3,IN,"Jan 15, 2024",Rated 5 out of 5 stars,It's very good,,"January 15, 2024"
Michael Whyte,4,DK,"Jan 15, 2024",Rated 2 out of 5 stars,No order and no information,It has been 2 weeks since me meds were shipped but no news about the shipment. I have tried three times to use the chat function and each time it failed.,"January 15, 2024"
Ujwala,2,IN,"Jan 15, 2024",Rated 5 out of 5 stars,Good service,,"January 15, 2024"
Sue Stevens,1,US,"Jan 14, 2024",Rated 5 out of 5 stars,If my issue is resolved promptly the 5…,If my issue is resolved promptly the 5 star rating is true.,"January 14, 2024"
Karen Puma,1,US,"Jan 14, 2024",Rated 5 out of 5 stars,Mijo was great,,"January 14, 2024"
John Cabanatan,1,US,"Jan 14, 2024",Rated 5 out of 5 stars,Quick response,Very quick response and was able to answer all my purchasing questions.,"January 13, 2024"
Paula,1,NZ,"Jan 13, 2024",Rated 5 out of 5 stars,Very helpful customer assistance.,,"January 14, 2024"
